槍彈者大師	Bullet Marker Master	불릿 마커 마스터
與斯塔迪堤山麓上方的親切的貓頭鷹雕像對話	Talk to the Friendly Owl Sculpture on the upper side of Stabdymo Shore	스타디티 기슭 위쪽의 친절한 부엉이 조각상과 대화
填充微微光芒的晶球	Recharge the Faintly Glowing Orb	희미하게 빛나는 구슬 충전
驅趕親切的貓頭鷹雕像附近的怪物	Wipe Out the Monsters Around the Friendly Owl Sculpture	친절한 부엉이 조각상 인근의 몬스터 몰아내기
與安靜的貓頭鷹雕像對話	Talk to Quiet Owl Sculpture	조용한 부엉이 조각상과 대화
收集藍色南瓜精的葉子	Collect Blue Sakmoli Leaves	푸른 사크몰리의 잎사귀 수집
轉交給安靜的貓頭鷹雕像	Deliever to the Quiet Owl Sculpture	조용한 부엉이 조각상에게 전달
引導徬徨的靈魂	Guide the Lost Souls	방황하는 영혼 인도
向繼承者塔魯爾打聽關於繼承者的事	Listen to the tale of Loremasters from Loremaster Daroul	전승자 다룰에게 전승자에 관한 이야기 듣기
與信徒亞武努斯對話	Talk to Believer Jaonus	신도 야우뉴스와 대화
驅趕附近的怪物	Drive away nearby monsters	인근 몬스터 몰아내기
驅趕小豬克萊佛後收集克萊佛的核	Collect clamper cores by defeating pag clampers	페이그 클램퍼를 물리치고 클램퍼의 핵 수집
在棺內收集蘊含亡者之恨的遺物	Collect he dead's objects of resentment from the coffin	관에서 망자의 한이 서린 유품 수집
神聖或褻瀆	Sacred or Secular	성스럽거나, 불경하거나
與科斯塔斯對話	Talk to Costas	코스타스와 대화
收集被忘卻的教理本	Collect the scattered Doctrine	잃어버린 교리본 수집하기
取得藍色小豬多普的油後點燃營火	Light the campfire by obtaining oil from Green Pag Nurses	푸른 페이그 도퍼에게 기름을 얻어 모닥불에 불 붙이기
確認寫在牆上的內容	Check the inscription on the wall	벽에 적힌 내용 확인
柯拉佩達的聖水祭司大師對話	Talk with the Priest Master at Klaipeda	클라페다의 프리스트 마스터와 대화
到佩迪米安外圍去跟審判官拉爾瑪對話	Talk to Judge Rymis at the Fedimian Outskirts	페디미안 외곽의 심판관 라이미스와 대화
把緹玫勒斯寺院的邪教也驅趕走	Drive Away the Heretics At Tymeris Temple	티메리스 사원의 사교도 몰아내기
探索隱藏的房間	Inspect the Hidden Chamber	숨겨진 방 탐색
調查隱藏的房間	Inspect the Hidden Chamber	숨겨진 방 조사
與奎波爾麗娜對話	Talk to Kupole Lina	큐폴 리나와 대화
先從附近的怪物身上收集怪物液體	Extract and gather fluids from the nearby monsters	인근 몬스터로부터 몬스터의 액체 모으기
從織網上坡路的落葉堆中收集落葉	Gather the leaves from the piles on Netting Hills	그물 오름길에 있는 낙엽더미에서 낙엽 모으기
把波波特小溪邊的營養劑瓶裝滿營養劑	Fill up the bottles on Popot Stream with the supplements	포포트 개울가에 있는 영양제 병에 영양제 채우기
與奎波爾艾格雷對話	Talk to Kupole Aeglei	큐폴 에글레와 대화
消滅附近的怪物	Defeat nearby monsters	인근의 몬스터 퇴치
消滅周圍地區的怪物	Defeat nearby monsters	인근 지역의 몬스터 처치
與守墓人布魯納爾對話	Talk to Forest Keeper Brunonas	산지기 브루노나스와 대화
調查拉帕伊交叉路附近	Inspect the Raffye Crossroads	라파이 교차로 인근 조사
調查拉帕伊小路的苔蘚	Investigate Moss on Raffye Trail	라파이 오솔길의 이끼 조사
調查石頭採集苔蘚	Extract and examine moss from rock	돌을 조사해서 이끼 채취하기
與採藥者柴吉李斯對話	Talk to Herbalist Cesaris	약초꾼 채자리스와 대화
在皮亞瑪休憩地採集藥草	Gather Herbs from Pjama Resting Place	피아마 쉼터에서 약초 채집
採取艾蘭所給的貝爾里斯的根	Dig up the vhelis roots that Iyran finds	아이란이 찾아주는 벨리스 뿌리 채취
與樵夫道維達斯對話	Talk with Lumberjack Dowedas	나무꾼 도위다스와 대화
調查被放置在康恩克伐木場的木材堆	Investigate the wood piles on Kunck Logging Area	컨크 벌목장에 놓인 장작더미 조사
調查木材堆	Inspect the piles	장작더미 조사
調查伊巴斯丘陵的樹墩	Investigate the tree stump on Yvass Hill	이바스 언덕에 있는 그루터기 조사
與時空法師艾伊達對話	Talk to Chronomancer Ida	크로노맨서 아이다와 대화
收集血液樣本	Obtain the Blood Sample	혈액 샘플 수집
現在帶著血液樣本到內城壁第8區域去	Take the blood sample at get to Outer Wall District 8	혈액 샘플을 가지고 내성벽 제 8구역으로 이동
調查奇怪的石頭	Inspect the Suspicious Looking Rock	수상한 바위 조사
消滅貝洛查德	Defeat Velochard	벨로차드 처치
與難民代表摩爾庫斯對話	Talk to Refugee Representative Morkus	피난민 대표 모르쿠스와 대화
在綠色樹木上使用有機溶劑	Use the Orgain Solvent on the green tree	녹색 나무에 유기용제 사용
可疑的楓樹確認	Inspect the strange autumn leaved tree	이상한 단풍 나무 확인
在雷雷斯空地尋找碎布布偶的痕跡	Find the trace of rag doll at the Lereth Lot	레레스 공터에서 헝겊인형의 흔적 찾기
尋找陌生硬漢	Find the Mystery Man	의문의 사나이 찾기
擊退襲擊的怪物	Defeat the attacking monsters	습격한 몬스터 퇴치
硬漢艾維德斯對話	Talk with Ejuidas	에이위다스와 대화
與陌生硬漢艾維德斯對話	Talk to Ejuidas the Mystery Man	의문의 사나이 에이위다스와 대화
去跟硬漢艾維德斯對話吧！	Talk to Ejuidas	에이위다스와 대화하세요.
與小女孩赫莉塔對話	Talk with Little Willitte	꼬마 윌리타와 대화
救出小女孩赫莉塔	Rescue Little Willitte	꼬마 윌리타 구출
採集堅硬的根部	Extract Sturdy Roots	단단한 뿌리 채취
與奎波爾蕾妲對話	Talk with Kupole Leda	큐폴 레다와 대화
收集魔族命令書	Collect Demon orders	마족 명령서 수집
到杰洛梅爾廣場收集小石子碎片	Collect small stone fragment from Jeromel Square	제로멜 광장에서 작은 돌 파편 수집
收集魔族力量	Collect the Demon Power	마족의 힘 수집하기
調查痕跡	Investigate the trace	흔적 조사
在公園內居住地尋找奧施莉奈的痕跡	Find the trace of Ausrine at Park Residential Area	공원내 거주지에서 아우슈리네의 흔적 찾기
回收奧施莉奈女神的痕跡	Retrieve the Trace of Ausrine	아우슈리네의 흔적 회수
杰洛梅爾公園管理所尋找第2個痕跡	Find the second trace at Jeromel Park Management Office	제로멜 공원 관리소에서 두 번째 흔적 찾기
搜尋商圈入口的痕跡	Search for the Trace at the Shopping Street Entrance	상가터 입구의 흔적 수색
收集魔族力量	Collect the Demon Power	마족의 힘 수집
掃蕩附近的怪物	Mop up nearby monsters	인근 몬스터 소탕
觀察尤那耶爾紀念館	Look around the Jonael Memorial	요나엘 기념관 살펴보기
移動至尤那耶爾大禮堂	Move to Jonael Hall	요나엘 대회관으로 이동
確認魔君主迪耶那的狀況	Inspect Demon Lord Diena	마군주 디에나의 상황보기
調查尤那耶爾居住地	Investigate Jonael Residential Area	요나엘 주거지 조사
與魔君主迪耶那	Talk to Demon Lord Diena	마군주 디에나와 대화
再次尋找痕跡	Find the Clue to the Trace	흔적의 단서 찾기
調查殘骸堆	Inspect the Rubbles	잔해 더미 조사
收集魔族的精髓	Obtain Demon Essence	마족의 정수 수집
設置警報水晶	Install Alarm Crystal	경보수정 설치
清除惡意魔法陣	Destroy the interferance magic circle	방해 마법진 제거
收集神聖力探知晶球的強化材料	Gather the materials to enhance Orb of Divine Detection	신성력 탐지 구슬 강화 재료 모으기
消滅跟自己實力相當的怪物	Defeat monsters that are of the similar levels as you are	자신과 비슷한 수준의 몬스터 처치
尋找消失的傳令	Find the Missing Orders	사라진 전령 찾기
槍騎兵大師對話	Talk with the Lancer Master	랜서 마스터와 대화
在娜圖森林尋找真理之樹教團的痕跡	Find the traces of the Order of the Tree of Truth	네토 숲에서 진리의 나무 교단 흔적 찾기
向槍騎兵大師報告	Report to the Lancer Master	랜서 마스터에게 보고
角鬥士大師對話	Talk with the Murmillo Master	무르밀로 마스터와 대화
消滅銀色獅身鷹首獸	Defeat Silva Griffin	실바 그리핀 처치
向角鬥士大師報告	Report to the Murmillo Master	무르밀로 마스터에게 보고
驅趕科諾特樹林的高薩爾 	Defeat Gosals at Khonot Forest	코노트 숲의 고살 퇴치
收集老舊的鑄幣	Collect the old coins	오래된 주화 수집
破壞監視球	Destory Observation Orb	감시구 파괴
在火槍手的練習台算準時間攻擊	Hit the practice pole of Musketeer at right times	머스킷티어의 연습대에 타이밍 맞춰 공격
去見依斯托拉遺跡地的刀騎兵大師吧！	Go to the Hackapell Master at Istora Ruins	이스토라 유적지의 하카펠 마스터를 찾아가세요.
用治癒的水晶注入森林氣息中	Filling the crystal of restoration with the forest energy	치유의 수정에 숲의 기운 충전하기
向刀騎兵大師報告	Report to the Hackapell Master	하카펠 마스터에게 보고
神射手大師對話	Talk with the Mergen Master	메르겐 마스터와 대화
去見依斯托拉遺跡地的神射手大師吧！	Go to the Mergen Master at Istora Ruins	이스토라 유적지의 메르겐 마스터를 찾아가세요.
連續8秒內一個人消滅怪物	Defeat a monster within 8 seconds of defeating another monster	혼자서 몬스터를 8초안에 연속해서 처치
向神射手大師報告	Report to the Mergen Master	메르겐 마스터에게 보고
賢者大師對話	Talk with the Sage Master	세이지 마스터와 대화
轉交信件給各職業大師	Deliver the Letter to the Masters	각 마스터들에게 편지 전달하기
轉交信件給賢者大師	Deliver the Letter to the Sage Master	세이지 마스터에게 편지 전달
將信轉交給擊劍手大師	Deliver the Letter to the Fencer Master	펜서 마스터에게 편지 전달
賢者大師向擊劍手大師	From the Sage Master to the Fencer Master  	세이지 마스터는 펜서 마스터에게 
在看守者墓地找尋劍術教科書的蹤跡	Find the Swordsmanship Textbook in the Guards Graveyard	파수꾼의 묘역에서 검술 교본의 흔적 찾기
調查老舊的日記	Inspect the Old Diary	낡은 일기 조사
確認日記中所記載的場所	Check the  Location Stated in the Diary	일기에 쓰여있는 장소 확인하기
轉交教科書給擊劍手大師	Deliver the Textbook to the Fencer Master	펜서 마스터에게 교본 전달
將信件轉交給死靈法師大師	Deliver the Letter to the Necromancer Master	네크로맨서 마스터에게 편지 전달
啟動可疑的裝置	Activate the Mysterious Device	수상한 장치 가동
向死靈法師大師報告	Report to the Necromancer Master	네크로맨서 마스터에게 보고
搜尋克里那斯丘陵地	Inspect Grynas Hills 	그리나스 구릉지 수색
鎖鏈法師大師最近在克里那斯丘陵地	The Linker Master said that on Grynas Hills recently 	링커 마스터는 최근 그리나스 구릉지에서 
到克里那斯丘陵地依照鎖鏈法師大師所說的去做	Just like the Linker Master said about Grynas Hills 	그리나스 구릉지에서 링커 마스터의 말대로 
在魔族收監所第1區安裝魔力水晶	Install the Spell Crystal at Demon Prison District 1	마족수감소 1구역에 마력 수정 설치
到克尼多斯森林去凱吉青苔泥人的碎片	Collect the Fragments of Gazing Golem on Grynas Hills	크니도스 숲에서 게이징 골렘의 파편 수집
收集凱吉青苔泥人 的核	Collect Gazing Golem's Magic Core	게이징 골렘의 핵 수집
避開凱吉青苔泥人的視線安裝鏈接追蹤裝置	Install the Link Tracking Device and Avoid Getting Detected by Gazing Golem	게이징 골렘을 피해 링크 추적장치 설치
跟鎖鏈法師大師連繫	Contact with Linker Master	링커 마스터와 연락
前往鏈接追蹤裝置	Go to the Link Tracking Device	링크 추적장치로 가기
確認派出凱吉青苔泥人的魔族身分	Check the Demon Sent by Gazing Golem	게이징 골렘을 보낸 마족 확인
收集採藥者凱爾希斯相關情報	Collect Information About Herbalist Calsis	약초꾼 칼시스에 대한 정보 수집
消滅出現在奈奈巴庭院的怪物	Defeat the Monsters at Neneva Yard	네네바 뜨락에 나타난 몬스터 퇴치
翻找老舊的箱子堆	Search the Old Pile of Boxes	낡은 상자더미 수색
調查老舊箱子堆	Investigate the Old Pile of Boxes	낡은 상자더미 조사
去見艾潔爾利打聽凱爾希斯下落相關線索	Find the Arzeli to Obtain Clues About Calsis' Whereabouts	아젤리를 찾아 칼시스의 행방에 대한 단서 얻기
採集艾潔爾利的同時也找找看有沒有線索吧!	Collect the Arzeli and Look for Clues	아젤리를 채집해서 단서가 있는지 확인하기
將日記還有艾潔爾利轉交給謝爾妃	Deliver the Diary and Arzeli to Selphie	셀피에게 일기와 아젤리 전달
與閔希豪森男爵對話	Talk to Baron Munchausen	뮌히하우젠 남작과 대화
自己 	The man who calls himself 	자신을 
偉大的終結者	the Great Problem-Solver	위대한 해결사
去跟那位自稱是 閔希豪森男爵的人對話吧!	Talk to Baron Munchausen	라고 자칭하는 뮌히하우젠 남작과 대화하세요.
靈驗的粉末	Holy Powder	영험한 가루
將可疑水晶埋藏在移居民居住地	Bury the Strange Crystals Under the Village	이주민 거주지에 수상한 수정 묻기
到娜圖森林採集乾枯的落葉	Gather Dried Leaves of Nheto Forest	네토 숲에서 마른 낙엽 채집
與礦山村莊村長對話	Talk to the Miners' Village Mayor	광산 마을  촌장과 대화
閔希豪森男爵向礦山村莊村長	Baron Munchausen asked you to deliver  	뮌히하우젠 남작은 광산 마을 촌장에게 
閔希豪森的軟膏	Munchausen's Reagent	뮌히하우젠의 연고
驅趕看守者墓地的幽靈	Exorcise the Guards Graveyard	파수꾼의 묘역의 유령 퇴치
與狂熱者大師對話	Talk with the Zealot Master	질럿 마스터와 대화
啟用沒有邪惡氣息的所有圓盤	Activate the discs that do not contain evil energy	사악한 기운이 없는 모든 원판 활성화 시키기
轉交給嘉魅爾蘭	Deliever to Jamelhan	자멜란에게 전달
女神之花	The Goddess' Flower	여신의 꽃
祭司凱勒堤對話	Talk with Priest Gherriti	사제 개러티와 대화
去跟祭司凱勒堤對話	Talk to Priest Gherriti	사제 개러티와 대화하세요
把種子泡進河裡	Immerse the Seeds under water	씨앗을 물가에 담그기
請跟祭司凱勒堤對話。	Talk with Priest Gherriti	사제 개러티와 대화하세요.
跟祭司凱勒堤一起移動到還遺留有神聖力的場所	Move to the place where the divine energy still remains along with Priest Gherriti	사제 개러티와 신성력이 남아있는 장소로 이동
請和祭司凱勒堤一同移動至殘留神聖力的地點。	Get to the place where the divine energy still remains along with Priest Gherriti	사제 개러티와 신성력이 남아있는 장소로 이동하세요.
取得拉昆的精髓	Obtain Lyecon essence	라콘의 정수 구하기
去跟 祭司凱勒堤對話看看。	Talk to Priest Gherriti	사제 개러티와 대화 하세요
取得阿爾寇蕨葉	Get the arcus bracken	아르커스 고사리 구해오기
將神聖力注入兩根柱子中間	Fill it up with the divine energy from the pillar	돌 기둥에 있는 신성력 담아오기
填滿神聖力的精髓放置在祭壇附近	Place the essence on the altar after filling it with the divine energy	신성력으로 채운 정수를 제단 근처에 놓기
燃燒祭壇旁的花朵	Burn the flower near the altar	제단 옆에 있는 꽃 태우기
協助祭司凱勒堤集中精神	Help Priest Gherriti Concentrate	사제 개러티의 집중이 방해되지 않게 돕기
詢問女神的下落	Ask whereabouts of Goddess	여신의 행방에 대해 물어보기
請向祭司凱勒堤詢問關於女神的行蹤。	Ask Priest Gherriti on whereabouts of Goddess	사제 개러티에게서 여신의 행방에 대해서 물어보세요
隱藏在森林深處的威脅	Danger the Lurks in the Forest	숲 속에 숨어있는 위협
奧斯卡拉斯對話	Talk with Oscaras	오스카라스와 대화
取得實驗所需的材料	Obtain the Materials needed for the experiment	실험에 필요한 재료 구하기
取得實驗所需的對照組	Obtain Experiment Subjects	실험에 필요한 실험군을 구하기
讓把捕捉來的怪物接觸實驗物質	Contact the experimental substance on the captured monster	포획한 몬스터에게 실험 물질을 접촉시키기
請跟奧斯卡拉斯看看	Talk to Oscaras	오스카라스와 대호하세요
採集各種帕馬勒蕨葉	Gathering different types of phamer brackens	다양한 형태의 파마르 고사리 채집하기
尋找圖隆伊的精髓	Obtain Bunkeyto essence	도룡이의 정수 구하기
用圖隆伊的精髓尋找閃爍花	Use Bunkeyto essence to Obtain Vink Flowers	도룡이의 정수를 사용해 빙크 꽃 구하기
尋找奧斯卡拉斯	Find Oscaras	오스카라스 찾기
去見奧斯卡拉斯吧！	Find Oscaras	오스카라스를 찾으세요
製做治療劑	Make the cure	치료제 만들기
保管好實驗台的治療劑	Grab the cure on the experiment table	실험대에서 치료제 챙기기
麻煩保管好在實驗台上製作好的治療劑。	Grab the completed cure from the experiment table	실험대에서 완성된 치료제를 챙기세요
把 治療劑轉交給奧斯卡拉斯	Deliver the cure to Oscaras	오스카라스에게 치료제를 전달하기
利用魔法晶球取得籠罩著魔力的血液	Use the magic orb to obtain Magic Infused Blood	마법 구슬을 사용해 마력이 서린 혈액 구하기
收集香精需要的材料	Collect the materials to make the incense	향에 필요한 재료 모으기
將瀰漫詛咒的遺物回收	Retrieve the Cursed Keepsakes	저주가 서린 유품을 회수해오기
用淨化過的寶珠淨化被魔力感染的植物	Purify the plants with the orb of purification	마기에 물든 식물을 정화의 보주로 정화하기
去跟柯拉佩達的神諭師大師對話	Talk to the Oracle Master at Klaipeda	클라페다에 있는 오라클 마스터와 대화하세요
把作業場的魔族給消滅掉	Defeat demons at Workshop	작업장에 있는 마족 처치하기
與瘟疫醫生大師對話	Talk to the Plague Doctor Master	플레이그닥터 마스터와 대화
尋找野獸型怪物的血液、植物型怪物的體液	Obtain the fluids of wild animal and plant monsters	야수형 몬스터의 혈액, 식물형 몬스터의 체액을 구하기
卡巴拉對話	Talk with the Kabbalist Master	카발리스트와 대화
去跟依斯托拉遺跡地的卡巴拉對話	Talk to the Kabbalist Master at Istora Ruins	이스토라 유적지에 있는 카발리스트와 대화하세요
消滅水晶球中出現的數字所指的怪物	Defeat the monster indicated by the number displayed on the crystal sphere	수정구에 나타난 숫자가 의미하는 몬스터 처치
去跟賢者大師對話吧！	Talk to the Sage Master	세이지 마스터와 대화하세요
尋找魔法學相關書籍	Find the Books On the Study of Magic	마법학과 관련된 서적 찾기
請跟附魔師大師對話。	Talk to the Enchanter Master	인챈터 마스터와 대화하세요
使用魔力吸收晶球吸收魔力	Use the absorption orb to absorb the spell	마력 흡수 구슬을 사용해 마력 흡수하기
新審判者大師對話	Talk with the Inquisitor Master	인퀴지터 마스터와 대화
去跟瑪那哈斯村莊的 新審判者大師對話吧。	Talk to the Inquisitor Master in Manahas	마나하스에 있는 인퀴지터 마스터와 대화하세요
道士大師對話	Talk with the Taoist Master	도사 마스터와 대화
去跟蓮帕拉沙池塘的道士大師對話吧！	Talk to the Taoist Master at Lemprasa Pond	렘파라사 연못에 있는 도사 마스터와 대화하세요
對娜圖森林出現的怪物使用符咒	Use charms on monsters at Nheto Forest	네토 숲의 몬스터에게 부적 사용하기
詢問奎波爾梅伊雷是否有辦法引渡丁格巴希地區被石化的人們	Ask Kupole Meile to Guide the Souls in Dingofasil District	딩고파실 지구에 있는 석화된 이들을 인도해줄 수 있는지 큐폴 메일레에게 물어보세요
在丁格巴希地區設置水晶	Install the Sphere at Dingofasil District	딩고파실 지구에 구슬 설치하기
丁格巴希	Dingofasil	딩고파실
村莊居民的財產	Villagers' Valuables	마을 주민의 재산
解開箱子的鎖	Unlock the Box	상자의 잠금 장치 풀기
將箱子交給村莊居民	Deliver the Box to the Villagers	마을 주민에게 상자를 전달하기
與士兵哈爾倫對話	Talk to Soldier Heulen	병사 하일른과 대화
尋找草莓	Obtain Strawberries	딸기 구하기
與鬥牛士大師對話	Talk to the Matador Master	마타도르 마스터와 대화
通過鬥牛士大師的考驗	Complete the Matador Master's test	마타도르 마스터의 시험에 통과하기
請通過鬥牛士大師給的考驗	Complete the Matador Master's test	마타도르 마스터가 내준 시험에 통과하세요
已經汲取完成實驗所需的水了！	You have raised enough water for the experiment	실험에 필요한 물을 길렀습니다
網鬥士和織網	Retiarius and the Net	레티아리이와 그물
古老大海的名譽	Honor of the Old Sea	옛 바다의 명예
永生不朽的安基納斯	Eternal Amjinas	불로불사의 암지나스
鍊金術士的情由	The Alchemist's Inspection	연금술사의 사정
神不知鬼不覺	Without a Trace	쥐도 새도 모르게
利迪亞夏班與造箭者的弓箭	Lydia Schaffen and the Fletcher's Arrow	리디아 샤펜과 플레쳐의 화살
消失的傳令	The Missing Orders	사라진 전령
去確認熄滅的火吧	Make it Certain	꺼진 불을 확인하라
重建魔法學所需要的物品	Rebuilding the Study of Magic	마법학 재건에 필요한 것들
集中力提升訓練	Focus Training	집중력 향상 훈련
和網鬥士大師對話	Talk with the Retiarius Master	레티아리이 마스터와 대화
熟知網鬥士大師所告知的訓練規則	Retiarius Master's Training Rules	레티아리이 마스터가 알려주는 훈련 규칙 숙지
轉交箭矢給造箭者大師	Give the Arrow to the Fletcher Master	플레쳐 마스터에게 화살 전달
消滅防礙搜查線索的神殿射手	Defeat the Templeshooter Blocking Your Way	단서 수색을 방해하는 템플슈터 처치
和陰陽師大師對話	Talk with the Onmyoji Master	음양사 마스터와 대화
精神力訓練	Focus Training	정신력 훈련
使用笛子的方法	How To Use The Flute	피리를 다루는 방법
驅魔師的驅魔儀式	The Rituals of an Exorcist	엑소시스트의 구마의식
與吹笛手大師對話	Talk to the Pied Piper Master	파이드 파이퍼 마스터와 대화
練習笛子	Flute Practice	피리 연습
隱藏在森林裡的危險	Dangers Hidden Within The Forest	숲 속에 숨어있는 위험
與驅魔師大師對話	Talk to the Exorcist Master	엑소시스트 마스터와 대화
為解除禁錮的邪惡靈體進行驅魔	Exorcise the Evil Spirits	구속이 풀린 사악한 령들을 구마하기
