無_helmet	Empty_helmet	없음_helmet
魔法師愛麗絲套裝(男)	Wizard Wonderland Costume (Male)	마법사용 앨리스 코스튬(남)
魔法師愛麗絲套裝(女)	Wizard Wonderland Costume (Female)	마법사용 앨리스 코스튬(여)
魔法師制服套裝(男)	Wizard Ceremonial Costume (Male)	마법사용 제복 코스튬(남)
魔法師制服套裝(女)	Wizard Ceremonial Costume (Female)	마법사용 제복 코스튬(여)
魔法師哥德蘿莉塔套裝(男)	Wizard Gothic Costume (Male)	마법사용 고스로리 코스튬(남)
魔法師哥德蘿莉塔套裝(女)	Wizard Gothic Costume (Female)	마법사용 고스로리 코스튬(여)
魔法師時尚休閒時裝(男)	Wizard Smart Casual Costume (Male)	마법사용 매니시룩 코스튬(남)
魔法師時尚休閒時裝(女)	Wizard Smart Casual Costume (Female)	마법사용 매니시룩 코스튬(여)
魔法師聖誕套裝(男)	Wizard Christmas Costume (Male)	마법사용 크리스마스 코스튬(남)
魔法師聖誕套裝(女)	Wizard Christmas Costume (Female)	마법사용 크리스마스 코스튬(여)
烈焰法師 3階套裝(男)	Pyromancer Circle 3 Costume (Male)	파이로맨서 3서클 코스튬(남)
烈焰法師 3階套裝(女)	Pyromancer Circle 3 Costume (Female)	파이로맨서 3서클 코스튬(여)
魔法師派對禮服(男)	Wizard Party Outfit (Male)	마법사용 파티 드레스 코스튬(남)
魔法師派對禮服(女)	Wizard Party Outfit (Female)	마법사용 파티 드레스 코스튬(여)
念力法師 3階套裝(男)	Psychokino Circle 3 Costume (Male)	사이코키노 3서클 코스튬(남)
念力法師 3階套裝(女)	Psychokino Circle 3 Costume (Female)	사이코키노 3서클 코스튬(여)
魔法師簡潔套裝(男)	Wizard Simple Color Costume (Male)	마법사용 심플 컬러 코스튬(남)
魔法師簡潔套裝(女)	Wizard Simple Color Costume (Female)	마법사용 심플 컬러 코스튬(여)
聖殿十字軍追隨者套裝	Paladin Follower Costume	팔라딘 추종자 코스튬
克里斯蒂娜套裝	Christina Costume	크리스티나 코스튬
弓箭手3階套裝(男)	Archer Circle 3 Costume (Male)	아처 3서클 코스튬(남)
弓箭手3階套裝(女)	Archer Circle 3 Costume (Female)	아처 3서클 코스튬(여)
弓箭手花漾禮服(男)	Archer's Spring Flower Dress (Male)	궁수의 봄맞이 꽃 컨셉 드레스(남)
弓箭手花漾禮服(女)	Archer's Spring Flower Dress (Female)	궁수의 봄맞이 꽃 컨셉 드레스(여)
管理職員套裝	Manager Costume	관리직원 코스튬
倉庫管理員套裝	Storage Keeper Costume	창고지기 코스튬
弩箭手3階套裝(男)	Quarrel Shooter Circle 3 Costume (Male)	쿼렐슈터 3서클 코스튬(남)
弩箭手3階套裝(女)	Quarrel Shooter Circle 3 Costume (Female)	쿼렐슈터 3서클 코스튬(여)
朝聖者套裝(男)	Pilgrim Costume (Male)	순례자의 코스튬(남)
朝聖者套裝(女)	Pilgrim Costume (Female)	순례자의 코스튬(여)
弓箭手梅花套裝(男)	Trump Archer Costume (Male)	궁수의 트럼프 코스튬(남)
弓箭手梅花套裝(女)	Trump Archer Costume (Female)	궁수의 트럼프 코스튬(여)
弓箭手學院風套裝(男)	Archer School Look Costume (Male)	궁수의 스쿨룩 코스튬(남)
弓箭手學院風套裝(女)	Archer School Look Costume (Female)	궁수의 스쿨룩 코스튬(여)
弓箭手浣熊套裝(女)	Archer Racoon Costume (Female)	궁수의 너구리 코스튬(여)
弓箭手泳裝套裝(男)	Archer Swimwear Costume (Male)	궁수의 수영복 코스튬(남)
弓箭手泳裝套裝(女)	Archer Swimwear Costume (Female)	궁수의 수영복 코스튬(여)
弓箭手愛麗絲套裝(男)	Archer Wonderland Costume (Male)	궁수의 앨리스 코스튬(남)
弓箭手愛麗絲套裝(女)	Archer Wonderland Costume (Female)	궁수의 앨리스 코스튬(여)
遊俠3階套裝(男)	Ranger Circle 3 Costume (Male)	레인저 3서클 코스튬(남)
遊俠3階套裝(女)	Ranger Circle 3 Costume (Female)	레인저 3서클 코스튬(여)
弓箭手水手服套裝(女)	Archer Sailor Costume (Female)	궁수의 세일러복 코스튬(여)
弓箭手制服套裝(男)	Archer Ceremonial Costume (Male)	궁수의 제복 코스튬(남)
弓箭手制服套裝(女)	Archer Ceremonial Costume (Female)	궁수의 제복 코스튬(여)
弓箭手中將套裝(男)	Archer's Heavily Armed Costume (Male)	궁수의 중장 코스튬(남)
弓箭手時尚休閒時裝(男)	Archer Smart Casual Costume (Male)	궁수의 매니시룩 코스튬(남)
弓箭手時尚休閒時裝(女)	Archer Smart Casual Costume (Female)	궁수의 매니시룩 코스튬(여)
弓箭手聖誕套裝(男)	Archer Christmas Costume (Male)	궁수의 크리스마스 코스튬(남)
弓箭手聖誕套裝(女)	Archer Christmas Costume (Female)	궁수의 크리스마스 코스튬(여)
弓箭手派對禮服(男)	Archer Party Outfit (Male)	궁수용 파티 드레스 코스튬(남)
弓箭手派對禮服(女)	Archer Party Outfit (Female)	궁수용 파티 드레스 코스튬(여)
弓箭手簡潔套裝(男)	Archer Simple Color Costume (Male)	궁수용 심플 컬러 코스튬(남)
弓箭手簡潔套裝(女)	Archer Simple Color Costume (Female)	궁수용 심플 컬러 코스튬(여)
聖殿十字軍大師套裝	Paladin Master Costume	팔라딘 마스터 코스튬
巴伊寶拉之翼教團套裝	Wings of Vaivora Costume	바이보라의 날개 교단 코스튬
聖水祭司3階套裝(男)	Priest Circle 3 Costume (Male)	프리스트 3서클 코스튬(남)
聖水祭司3階套裝(女)	Priest Circle 3 Costume (Female)	프리스트 3서클 코스튬(여)
聖職者花漾禮服(男)	Cleric's Spring Flower Dress (Male)	성직자의 봄맞이 꽃 컨셉 드레스(남)
聖職者花漾禮服(女)	Cleric's Spring Flower Dress (Female)	성직자의 봄맞이 꽃 컨셉 드레스(여)
雜貨商人艾芙套裝	Item Merchant Alf Costume	잡화상인 알프 코스튬
裝備商人尤拉套裝	Equipment Merchant Jura Costume	장비상인 율라 코스튬
佩迪米安商人套裝(男)	Fedimian Merchant Costume (Male)	페디미안 상인 코스튬(남)
佩迪米安商人套裝(女)	Fedimian Merchant Costume (Female)	페디미안 상인 코스튬(여)
聖職者紅心套裝(男)	Trump Cleric Costume (Male)	성직자의 트럼프 코스튬(남)
聖職者紅心套裝(女)	Trump Cleric Costume (Female)	성직자의 트럼프 코스튬(여)
雕刻師3階套裝(男)	Dievdirbys Circle 3 Costume (Male)	딥디르비 3서클 코스튬(남)
雕刻師3階套裝(女)	Dievdirbys Circle 3 Costume (Female)	딥디르비 3서클 코스튬(여)
聖職者學院風套裝(男)	Cleric School Look Costume (Male)	성직자의 스쿨룩 코스튬(남)
聖職者學院風套裝(女)	Cleric School Look Costume (Female)	성직자의 스쿨룩 코스튬(여)
聖職者執事套裝(男)	Cleric Servant Costume (Male)	성직자의 서번트 코스튬(남)
聖職者女僕套裝(女)	Cleric Servant Costume (Female)	성직자의 서번트 코스튬(여)
聖職者泳裝套裝(男)	Cleric Swimwear Costume (Male)	성직자의 수영복 코스튬(남)
聖職者泳裝套裝(女)	Cleric Swimwear Costume (Female)	성직자의 수영복 코스튬(여)
聖職者愛麗絲套裝(男)	Cleric Wonderland Costume (Male)	성직자의 앨리스 코스튬(남)
聖職者愛麗絲套裝(女)	Cleric Wonderland Costume (Female)	성직자의 앨리스 코스튬(여)
聖職者制服套裝(男)	Cleric Ceremonial Costume (Male)	성직자의 제복 코스튬(남)
聖職者制服套裝(女)	Cleric Ceremonial Costume (Female)	성직자의 제복 코스튬(여)
武僧3階套裝(男)	Monk Circle 3 Costume (Male)	몽크 3서클 코스튬(남)
武僧3階套裝(女)	Monk Circle 3 Costume (Female)	몽크 3서클 코스튬(여)
牧師3階套裝(男)	Cleric Circle 3 Costume (Male)	클레릭 3서클 코스튬(남)
牧師3階套裝(女)	Cleric Circle 3 Costume (Female)	클레릭 3서클 코스튬(여)
聖職者時尚休閒時裝(男)	Cleric Smart Casual Look (Male)	성직자의 매니시룩 코스튬(남)
聖職者時尚休閒時裝(女)	Cleric Smart Casual Look (Female)	성직자의 매니시룩 코스튬(여)
聖職者聖誕套裝(男)	Cleric Christmas Costume (Male)	성직자의 크리스마스 코스튬(남)
聖職者聖誕套裝(女)	Cleric Christmas Costume (Female)	성직자의 크리스마스 코스튬(여)
聖職者派對禮服(男)	Cleric Party Outfit (Male)	성직자용 파티 드레스 코스튬(남)
聖職者派對禮服(女)	Cleric Party Outfit (Female)	성직자용 파티 드레스 코스튬(여)
聖職者簡潔套裝(男)	Cleric Simple Color Costume (Male)	성직자용 심플 컬러 코스튬(남)
聖職者簡潔套裝(女)	Cleric Simple Color Costume (Female)	성직자용 심플 컬러 코스튬(여)
無_Hat	Empty_Hat	없음_Hat
頭飾1	Hair Costume 1	헤어 코스튬1
貓耳朵	Cat Ears	고양이귀
頭飾2	Hair Costume 2	헤어 코스튬2
水晶頭飾	Crystal Headband	수정 머리띠
馬尾辮子	Pony Tail	묶은 머리
鋼鐵頭盔	Steel Visor	강철 바이저
翅膀頭盔	Wings Visor	날개 바이저
費多拉帽	Fedora	페도라
護目鏡	Goggles	고글
雷普斯兔子頭飾	Lepusbunny Headband	레푸스버니 머리띠
銀杏葉	Ginkgo Leaf	은행잎
頭飾3	Hair Costume 3	헤어 코스튬3
鳳蝶	Tiger Swallowtail	호랑나비
禿鷹羽毛	Eagle Feather	독수리깃
蘑菇卡利亞帽子	Muscharia Hat	머슈카리아 모자
王冠	Crown	왕관
白花髮夾	White Flower Hairpin	흰꽃 머리핀
老虎面具	Tiger Mask	호랑이 가면
提尼人偶	Tini Doll	티니 인형
翅膀頭盔	Wing Helmet	날개 투구
翅膀裝飾	Wing Decoration	날개 장식
鳥巢裡的蛋	Nesting Egg	둥지튼 알
鳥巢裡的小雞	Nesting Chick	둥지튼 병아리
鳥巢裡的雞	Nesting Chicken	둥지튼 닭
制式帽	Campaign Hat	제식모
紳士的品格	Gentleman's Dignity	신사의 품격
時髦的眼鏡	Stylish Glasses	세련된 안경
冰袋	Ice Bag	얼음 주머니
海棠花	Rosa Rugosa	해당화
羽毛帽	Feather Hat	깃털 모자
楓葉	Maple Leaf	단풍잎
紅酒帽	Red Tassel Hat	붉은술모자
護士帽	Nurse Headband	간호사 머리띠
卡汀花裝飾	Kateen Flower Decoration	카틴 꽃 장식
小狗耳朵	Dog Ears	강아지귀
乳牛頭飾	Cow Headband	젖소 머리띠
小獅子面具	Small Lion Mask	작은 사자탈
大獅子面具	Big Lion Mask	큰 사자탈
天狗面具	Tengu Mask	텐구가면
狐狸面具	Fox Mask	여우가면
異世界眼鏡	Glasses from the Otherworld	이세계의 안경
山羊角	Goat Horns	산양 뿔
惡魔翅膀裝飾	Demon Wings	악마 날개 장식
銀色頭飾	Silver Tiara	은머리장식
熊眼罩	Bear Eyemask	곰안대
財富的象徵	Symbol of Wealth	부의 상징
金兔裝飾	Golden Rabbit Hairpin	금토끼장식
鹿角裝飾	Antler Horns	사슴뿔장식
將校頭盔	Officer Helmet	장교 투구
金邊頭盔	Gilt Helmet	금테 투구
鋼鐵頭盔	Steel Helmet	강철 투구
黑色兔耳朵	Black Rabbit Ears	까만 토끼귀
凱帕人偶	Kepa Doll	케파 인형
粉紅兔耳朵	Pink Bunny	핑크 바니
木棍面具	Stake	말뚝이
白虎面具	White Tiger Mask	백호가면
眼鏡	Glasses	안경
獨角獸角	Unicorn Horn	유니콘 뿔
紅角	Red Horns	붉은 뿔
沙漠卓柏卡布拉耳朵	Desert Chupacabra Ears	사막 츄파카브라귀
米爾堤斯頭盔	Mirtis Helmet	미르티스 투구
紅色惡魔翅膀	Red Devil Wings	붉은 악마날개
為什麼會把翅膀掛在頭上呢？	Why do people want to attach wings to their heads?	왜 머리에 날개를 달려고 하는 것일까요?
天使翅膀	Angel Wings	천사날개
墮落的天使翅膀	Fallen Angel Wings	타락천사날개
女僕頭飾	Maid Headband	메이드 머리띠
苗族頭飾	Miao Hair Ornament	묘족두식
耳帽	Earplugs	귀마개
高級髮夾	Luxury Hairpin	고급스런 머리핀
羽毛花冠	Feather Helmet	깃털 화관
咒術師面具	Shaman Mask	주술사 가면
幼苗	Sprout	새싹
荷包蛋	Fried Egg	계란 후라이
部族傳統頭飾	Tribal Hair Ornament	부족전통머리장식
高帽子	Party Cone	고깔모자
貓咪髮夾	Cat Hairpin	고양이 머리핀
帝王之冠	Imperial Helm	임페리얼 헬름
異世界之球	Ball from Another World	이세계의 공
負擔蝴蝶結	Burdensome Ribbon	부담스러운 리본
紙鶴	Paper Crane	종이학
亡者頭飾	Ghost Headband	망자의 머리띠
黑色四角帽子	Square Black Hat	검은 사각 모자
嘉年華面具	Carnival Mask	카니발 가면
孔雀羽毛	Peacock Feather	공작 깃털
鳳梨	Pineapple	파인애플
荒野的不法之徒	Desert Outlaw	황야의 무법자
小丑帽子	Clown Cap	광대 모자
貓頭鷹	Owl	부엉이
王冠頭飾	Crown Headband	왕관 머리띠
布丁	Pudding	푸딩
鳳冠	Bride Coronet	족두리
花的樹枝	Flower Branch	꽃 나뭇가지
紅點蝴蝶結	Polka Dot Ribbon	땡땡이 리본
藍色蝴蝶結	Blue Ribbon	파란 리본
薄荷巧克力杯子蛋糕	Mint Chocolate Cupcake	민트초코컵케이크
草苺杯子蛋糕	Strawberry Cupcake	딸기컵케이크
拉瑪	Lamah	라마
梅勒肯帽子	Mergen Hat	메르겐 모자
緞帶裝飾帽子	Decorative Ribbon Hat	리본 장식 모자
蝴蝶結裝飾的白色草帽	White Ribbon Decoration Boater	리본 장식 흰 보터
蝴蝶結裝飾的紅色草帽	Red Ribbon Decoration Boater	리본 장식 붉은 보터
冬季用帽子	Winter Hat	겨울용 모자
新帽子05	New Hat 05	신규모자05
短版遮陽羽毛帽子	Small Brim Feather Hat	작은챙 깃털모자
草帽	Boater	보터
高級的玫瑰帽子	Luxury Hat and Rose	고급스런 모자와 장미
貴族帽子	Noble Hat	귀족 모자
撞色草帽	Dual Color Boater	듀얼컬러 보터
外出帽	Outdoors Hat	나들이용 모자
紅色畫家帽	Red Artist Hat	붉은 화가 모자
海軍船員帽	Sailor Cap	해군 선원모
藍色水手帽	Blue Sailor Cap	푸른 해군 선원모
鮮花貴夫人帽	Noble Flower Bonnet	꽃장식 귀부인모
充滿威嚴的主教冠	Dignity Miter	위엄 넘치는 주교관
威望的主教冠	Prestige Miter	권위적인 주교관
威風堂堂的主教冠	Imposing Miter	위풍당당한 주교관
女僕頭飾	Maid Hair Accessory	메이드 머리 장식
將校制式帽	Ceremonial Officer Cap	장교 제식모
新帽子21	New Hat 21	신규모자21
新帽子22	New Hat 22	신규모자22
部族長頭飾	Tribal Chief Head Decoration	부족장 머리 장식
獠牙頭飾	Canine Head Decoration	송곳니 머리 장식
古代王冠	Ancient Crown	고대 왕관
新帽子26	New Hat 26	신규모자26
祭禮用面紗	Ceremonial Veil	제례용 베일
儀式用面紗	Ritual Veil	의식용 베일
玫瑰色禮帽	Rosy Bowler	장미빛 볼러
祭禮用頭冠	Ritual Coffin	제례용 관
高調小白花頭飾	White Flower Headgear	큰 흰꽃 머리장식
高調小紅花頭飾	Red Flower Headgear	큰 붉은꽃 머리장식
活動氣球	Event Balloon	행사 풍선
貓腳髮箍	Cat's Feet Handband	고양이발 머리띠
黑桃軍帽	Major Spade Hat	스페이드 군관 모자
方塊魔術帽	Diamond Magician Hat	다이아 마술사 모자
方塊皇冠	Queen Diamond's Tiara	다이아 퀸 티아라
紅心海軍帽 	Sailor Heart Hat	하트 선원 모자
梅花羽毛帽	Clover Feather Hat	클로버 깃털 모자
白色免子髮圈	White Bunny Hairband	화이트 바니 머리띠
紅色羽毛花冠	Red-feathered Corolla	붉은깃털장식 화관
粉紅色羽毛花冠	Pink-feathered Corolla	분홍깃털장식 화관
海灘紳士帽	Beach Fedora	해변용 중절모
珊瑚花髮飾	Huckleberry Hair Accessory	산호꽃 머리장식
海軍帽	Sailor Hat	수병 모자
檸檬綠水滴蝴蝶結	Polka Dot Lime Ribbon	물방울무늬 라임리본
潛水鏡	Snorkeling Mask	수영고글
蛙鏡	Swimming Goggles	물안경
海邊草帽	Beach Straw Hat	해변용 밀짚모자
夏威夷花冠	Aloha Flower Crown	알로하 화관
蝴蝶冠帽	Butterfly Hat	나비 모양 관모
蓮花頭飾	Lotus Cup Hair Accessory	연꽃 컵 머리장식
瘋帽匠蛋糕帽	Hatter's Cake Hat	모자장수 케이크모자
百匯甜點老鼠耳髮飾	Parfait and Mouse Ear Headband	파르페와 생쥐 귀 머리띠
渡渡鳥髮飾	Dodo Hair Accessory	도도새 머리장식
柴郡貓髮飾	Chesirecat Hair Accessory	채셔캣 머리장식
時鐘兔髮飾	White Rabbit Hair Accessory	시계토끼 머리장식
愛麗絲鑰匙髮飾	Alice's Key Hair Accessory	앨리스 열쇠 머리장식
測試髮飾1	TestHairAccessory1	테스트헤어장식1
測試髮飾2	TestHairAccessory2	테스트헤어장식2
測試髮飾3	TestHairAccessory3	테스트헤어장식3
測試髮飾4	TestHairAccessory4	테스트헤어장식4
測試髮飾5	TestHairAccessory5	테스트헤어장식5
測試髮飾6	TestHairAccessory6	테스트헤어장식6
測試髮飾7	TestHairAccessory7	테스트헤어장식7
測試髮飾8	TestHairAccessory8	테스트헤어장식8
測試髮飾9	TestHairAccessory9	테스트헤어장식9
測試髮飾10	TestHairAccessory10	테스트헤어장식10
測試髮飾11	TestHairAccessory11	테스트헤어장식11
測試髮飾12	TestHairAccessory12	테스트헤어장식12
測試髮飾13	TestHairAccessory13	테스트헤어장식13
測試髮飾14	TestHairAccessory14	테스트헤어장식14
女僕蝴蝶結裝飾	Maid Ribbon	메이드 리본 장식
測試髮飾16	TestHairAccessory16	테스트헤어장식16
測試髮飾17	TestHairAccessory17	테스트헤어장식17
測試髮飾18	TestHairAccessory18	테스트헤어장식18
測試髮飾19	TestHairAccessory19	테스트헤어장식19
測試髮飾20	TestHairAccessory20	테스트헤어장식20
閃光石角	Flarestone Horn	플레어스톤 뿔
紅鶴	Flamingo	플라밍고
倉鼠	Hamster	햄스터
測試髮飾24	TestHairAccessory24	테스트헤어장식24
測試髮飾25	TestHairAccessory25	테스트헤어장식25
黑色羽毛裝飾	Black Feather Ornament	검은 깃털 장식
測試髮飾27	TestHairAccessory27	테스트헤어장식27
女性戰鬥頭飾	Female Traditional Hair Ornament	여성용 전통 머리 장식
測試髮飾29	TestHairAccessory29	테스트헤어장식29
愛心髮夾	Heart Hairpin	하트 머리핀
西洋棋女王帽	Queen Hat	퀸체스말 모자
烏雲閃電	Lightning Cloud	번개 구름
選單標示牌	Menu	메뉴 표지판
紙標牌	Paper Ticket	종이 딱지
雨雲	Rain Cloud	비구름
薄烤餅	Pancake	팬케이크
桃色玫瑰角	Peach-colored Rose Horn	복숭아빛 장미뿔
海賊帽	Pirate Hat	해적모자
紫羅蘭髮夾	Purple Flower Headband	보랏빛 플라워 헤어밴드
女王王冠	Queenly Crown	여왕의 왕관
