攻擊	Attack	공격
發動約納喬雷卡片	Activated Yonazolem Card	요나졸렘 카드 발동
發動克帕奇樹妖卡片	Activated Kepa Chieftain Card	케파치프틴 카드 발동
發動機角卡洛斯卡片	Activated Ellaganos Card	엘라가노스 카드 발동
忍住	Endure	버티기
希德拉的劇毒	Hydra's Venom	히드라의 맹독
被凍住的腳	Frozen Feet	얼어붙은 발
腐敗	Corruption	부패
魔法拒絕	Reject Magic	마법 거부
載主人	Give ride to master	주인태우기
HP藥水推助器	HP Potion Booster	HP포션 부스터
SP藥水推助器	SP Potion Booster	SP포션 부스터
掌握刀劍	Sword Mastery	소드 마스터리
掌握權杖	Staff Mastery	스태프 마스터리
掌握弓箭	Bow Mastery	보우 마스터리
掌握鈍器	Mace Mastery	메이스 마스터리
生存本能	Survival Instinct	생존본능
冰矛	Ice Spear	아이스 스피어
破裂一擊	Rupture Blow	파열의 일격
破滅	Rupture	파열
克服	Overcome	극복
跳躍	Jump	점프
橫身	Sidestep	횡신
疾走	Dash	대쉬
沉思	Meditation	메디테이션
再生	Regeneration	재생
煥發	Inspiration	번뜩임
橫越	Traverse	트래버스
盾擊	Shield Heater	실드 히터
震怒	Anger	진노
直覺	Intuition	직감
截斷	Cut	절단
警戒	Guard	경계
掌握雙手劍	Two-handed Sword Mastery	투 핸드 소드 마스터리
陀螺	Whipping Top	휘핑 탑
地獄網	Nether Web	네더웹
燃燒	Ignite	이그나이트
奇襲	Surprise Attack	기습
集中	Concentration	집중
自活力	Self Vitality	자활력
襲擊	Strike	스트라이크
亂打	Nanta	난타
智力增加	Increase INT	지능 증가
均衡	Balance	균형
擊破	Smash	격파
銳利的矛頭	Sharp Spear Head	예리한 창끝
鋼絲繩	Wire Rope	와이어로프
離心力	Centrifugal Force	원심력
才幹	Tricks	재주
戰憟	Shiver	전율
掌握盾牌	Shield Mastery	실드 마스터리
雙手劍掌握	Two-handed Sword Mastery	투핸드소드 마스터리
技能[戰鬥怒吼]的持續時間，每個特性等級會增加2秒。	Duration of [Warcry] will increase by 2 seconds per level	스킬 [워크라이]의 지속시간이 특성 레벨 당 2초 증가합니다.
神聖	Divine	디바인
雕刻家	Sculptor	조각가
[箭雨]	[Arrow Sprinkle]	[화살비]
技能 [連續射擊] 在聚氣中可以進行迴轉(如果射擊，無法迴轉)	You can change directions while charging [Rapid Fire] (Not possible when shooting)	스킬 [래피드파이어] 챠지 중 방향회전이 가능해집니다(샷 하면 회전 불가능)
吹箭-使用毒	Needle Blow - Use Poison	취시-독사용
使用技能 [潛伏]挖地躲藏後，SP恢復增加特性 Lv x5  -> 刪除	Skill [Burrow] to hide dug the ground with the SP recovery features Lv x 5 increase -> Delete	스킬 [버로우]로 땅을 파고 숨으면 SP 회복이 특성 Lv x 5 만큼 증가 -> 제거
製作弓箭	Arrow Crafting	화살제작
[造箭者] 製作弓箭	[Fletcher] arrow production	[플레쳐] 화살 제작
技能 [武器修整]的維持時間每等級增加10分鐘。	Retention time of [Weapon TouchUp] increases by 10 minutes per attribute level	스킬 [무기 손질]의 유지시간이 레벨당 10분씩 증가합니다
技能 [防具修整]的維持時間每等級增加10分鐘。	Retention time of [Armor TouchUp] increases by 10 minutes per attribute level	스킬 [방어구 손질]의 유지시간이 레벨당 10분씩 증가합니다
組成海盜團	Form Pirates	해적단 결성
技能 [氣功波] 集氣中，可方向迴轉。(開始射擊後就無法)	You can change directions while using [Energy Blast] (Not possible when shooting)	스킬 [양광수] 챠지 중 방향회전이 가능해집니다(샷 하기 시작하면 불가능)
使用單手劍	Use One-handed Swords	한손검 사용
可配戴[單手劍]系列武器。	Able to use the [One-handed Sword] weapon type	[한손검] 계열 무기가 착용 가능해집니다
使用雙手劍	Use Two-handed Swords	양손검 사용
可配戴[雙手劍]系列武器。	Able to use the [Two-handed Sword] weapon type	[양손검]계열 무기가 착용 가능해집니다
使用單手長槍	Use One-handed Spears	한손창 사용
可配戴[單手長槍]系列武器。	Able to use the [One-handed Spear] weapon type	[한손창]계열 무기가 착용 가능해집니다
使用雙手長槍	Use Two-handed Spears	양손창 사용
可配戴[雙手長槍]系列武器。	Able to use the [Two-handed Spear] weapon type	[양손창]계열 무기가 착용 가능해집니다
使用弓箭	Use Bows	활 사용
可配戴[弓箭]系列武器。	Able to use the [Bow] weapon type	[활]계열 무기가 착용 가능해집니다
使用十字弓	Use Crossbows	크로스보우 사용
可配戴[十字弓]系列武器	Able to use the [Crossbow] weapon type	[크로스보우]계열 무기가 착용 가능해집니다
使用魔杖	Use Rods	로드 사용
可配戴[魔杖]系列武器。	Able to use the [Rod] weapon type	[로드]계열 무기가 착용 가능해집니다
使用權杖	Use Staves	스태프 사용
可配戴[權杖]系列武器。	Able to use the [Staff] weapon type	[스태프]계열 무기가 착용 가능해집니다
使用鈍器	Use Maces	메이스 사용
可配戴[鈍器]系列武器。	Able to use the [Mace] weapon type	[메이스]계열 무기가 착용 가능해집니다
使用魔棒	Use Wands	완드 사용
可配戴[魔棒]系列武器。	Able to use the [Wand] weapon type	[완드]계열 무기가 착용 가능해집니다
劍柄打擊	Pommel Beat	포멀비트
二重斬	Double Slash	더블슬래쉬
骷髏搖擺	Skull Swing	스컬 스윙
開設裝備耐久度修理商店	Open item durability repair shop	장비 내구도 수리 상점 개설
設置據點	Base Camp	거점 설치
設置餐台	Refreshment Table	배식대 설치
滾動雪球	Snow Rolling	스노우 롤링
大腦強化	Swell Brain	스웰 브레인
雨水	Rain	레인
召喚使役魔	Summon Familiar	사역마 소환
製作寶石	Gem Roasting	젬 로스팅
道具喚醒	Item Awakening	아이템 어웨이크닝
擊退射擊	Knockback Shot	넉백 샷
雙強力射擊擊	Dual Shot	듀얼 샷
粉碎大盾	Break Pavise	파비스 깨기
石弓移動射擊	Crossbow Moving Shot	석궁 무빙샷
隱蔽	Conceal	은폐
連打型陷阱	Continuous-type Trap	연타형 트랩
鋼絲陷阱	Spike Shooter	스파이크 슈터
人質炸彈	Collar Bomb	인질 폭탄
咆哮	Growling	그로울링
奪取	Capture	노획
迴避	Evasion	이베이션
仇殺	Vendetta	벤데타
催淚彈	Lachrymator	최루
背刺	Backstab	백스텝
漸隱	Fade	페이드
守護聖人	Guardian Saint	수호성인
重生	Revive	리바이브
驅魔	Exorcise	엑소사이즈
彈指神功	God Finger Flick	탄지신통
金鐘罩	Golden Bell Shield	금종조
辨別邪惡	Discerning Evil	디서닝 이블
重置	Resetting	리셋팅
死亡宣告	Death Sentence	죽음의 선고
投擲左手裝備	Throw left-hand weapon	왼손 장비 던지기
元素抗性	Resist Elements	레지스트 엘리멘츠
減少持續的傷害和 SP	Periodic decrease of SP and damage	지속적인 대미지와 SP 감소
解除負面效果	Removes harmful effects	해로운 효과를 해제
丟擲右手裝備	Throw right-hand weapon	오른손 장비 던지기
減少迴避率	Decreased evasion rate	회피율 감소
提升迴避率	Increased evasion rate	회피율 상승
裝備虛擬武器	Equip virtual weapon	가상무기장착
防具整修	Repair Armor	방어구손질
拉引技能[雕刻世界樹]範圍內敵人。	Pull enemies within range of [Carve World Tree]	스킬 [세계수 조각] 범위안에 있는 적을 끌어 당깁니다.
手槍右手(手槍專用)	Right-handed Pistol (Pistol Only)	권총 오른손(권총 전용)
迴避移動	Slithering	회피이동
武器整修	Weapon Maintenance	무기 손질
防具整修	Armor Maintenance	방어구 손질
設置營地	Base Camp	베이스 캠프 설치
按技能等級增加飲食效能。	Increases food effectiveness with each skill level	스킬 레벨별로 음식의 효능 증가
在基本攻擊動作之後，可無延遲使用短劍。	Able to use the dagger without delay from the basic attack	기본 공격 모션 후 딜레이 없이 단검 사용 가능
強力擊退接近的敵人	Enemy approaching is pushed far back	다가오는 적이 크게 밀려남
變更陣形的方向。	Change direction of formation	포메이션의 방향을 변경합니다.
正看著的方向變為正面	The direction you face become front	보고 있는 방향이 정면이 됨
召喚魔法書的惡魔。	Summon demon of Grimore	그리모어의 악마를 소환합니다.
可以使用惡魔的技能。	Enables you to use a Devil's skill	악마의 스킬 사용 가능
變形為登錄在魔法上的{nl}其它惡魔型BUSS	Transform to another Devil-type boss that is added to the Grimoire	그리모어에 등록한{nl}또 다른 악마형 보스로 변이
召喚薩拉米恩	Summon Salamion	살라미온 소환
仿照登錄在死靈之書上的怪物形態，製造修格斯。	Refer to monster registered in Necronomicon and summon Shawgus	네크로노미콘에 등록한 몬스터의 형태를 본떠서 쇼고스를 소환합니다.
登錄在死靈之書上的BOSS卡片	Boss card registered in Necronomicon	네크로노미콘에 등록한 보스카드
製作屍壁，阻止敵人靠近。	Make wall of corpse and block enemies	시체 벽을 만들어 대상의 접근을 막습니다.
套用範圍100	Target range 100	적용 범위 100
挖地尋找煉金術所需要的礦石。	Dig the ground and get items for alchemy	땅을 파서 연금술에 필요한 광석을 획득합니다.
每次獲得不同的礦石	Get different ore every time	매번 다른 광석을 얻음
按技能等級減少寶石的懲罰。	Decreases the Gem's penalty depending on the skill level	스킬 레벨별로 젬의 패널티가 감소
透過配方製作藥水	Create a potion through a recipe	레시피를 통해 포션 제작
隱蔽設置物，不讓敵人們發覺。	Hide installation from enemies	설치물을 은폐시켜 적들이 눈치채지 못하게 합니다.
躲在地底，隱藏自身的模樣。	Hide under the ground	땅속에 숨어 자신의 모습을 감춥니다.
潛伏狀態下只能進行基本攻擊	Can only use basic attacks in the Burrow state	버로우 상태에서 기본 공격만 가능
後退射擊	Retreat Shot	후퇴 사격
可登錄消耗道具的技能	Can register skill that use item	아이템 소비하는 스킬 등록 가능
強制增加對象的負面效果的持續時間。	Remove target's harmful effects	대상의 해로운 효과의 지속시간을 강제로 증가시킵니다.
可以使用怪物的技能	Can use monster's skill	몬스터의 스킬을 사용할 수 있음
變身為最近以形狀轉移所變身的怪物。	Transform into the monster last shap shifted	가장 최근에 쉐입시프팅으로 변신했던 몬스터로 변신합니다.
事先看到怪物所會掉落的道具。	Preview item that the monster will drop	몬스터가 떨어뜨릴 아이템을 미리 보여줍니다
變更掉落道具	Chagen drop item	드랍 아이템 변경
攻擊套用為連打。	Attack is applied continuously	공격이 연타로 적용됩니다.
可以一邊跑動，一邊進行移動射擊	Can use moving shot while running	무빙샷을 뛰면서 할 수 있음
掠奪	Pillaging	약탈
使用手槍	Use Pistol	권총 사용
可配戴[手槍]系列武器。	Can use [Pistol] weapons	[권총]계열 무기가 착용 가능해집니다
劇毒之箭	Poisonous Arrow	맹독 화살
突襲	Pouncing	파운싱
召喚僕人	Summon Servant	서번트 소환
強力射擊	Heavy Shot	헤비 샷
雙箭	Twin Arrow	트윈 애로우
拆除	Teardown	철거
奔跑射擊	Running Shot	런닝샷
奧施莉奈女神像	Statue of Goddess Ausrine	아우슈리네 여신상
奧施莉奈。	Ausrine	아우슈리네.
揮刀前進。	Use sword while moving forward	칼질하며 전진합니다.
[寬恕者] 製作驅除器	[Pardoner] Make despeller	[파드너] 디스펠러 제작
製作抵抗魔法	Craft Anti-Magic	안티매직 제작
[寬恕者] 製作抵抗魔法	[Pardoner] Craft Anti-Magic	[파드너] 안티매직 제작
鐵鏟開挖	Shovelling	삽질
金屬探測	Detect metal	금속탐지
噴水器	Water spray	물뿌리개
自身的攻擊一定會命中，但會自身的暴擊發生和暴擊迴避會減少。	Your attack hits target but chance of critical and critical evasion decreases?	자신의 공격이 반드시 명중하지만, 자신의 치명타 발생과 치명타 회피가 감소하는 상태가 됩니다.
大車輪	Giant Swing	자이언트 스윙
鶴翼陣	Winged Formation	학익진
生命線	Lifeline	생명줄
強力射擊	Heavy Shot	헤비샷
雙箭	Twin Arrows	트윈애로우
衝鋒	Rush Dog	러쉬독
呼喚	Call	부르기
鷹屎白	Looking	응시백
棲木	Roost	횃대 설치
盤旋	Circling	서클링
俯衝	Hovering	호버링
懸掛	Hand and Shoot	매달려쏘기
靈體攻擊	Attack soul	영체 공격
掠奪。	Pillaging	약탈.
看不到見面。	Cannot see in front	앞이 보이지 않음.
女神呵護	Blessing of the Goddess	여신의 가호
可探索	Searchable	탐색 가능
肌肉傾注	Muscle Pumping	근육 펌핑
守望者套裝BUFF	Sentinel Set Buff	파수꾼 세트 버프
可以發動守望者的意志BUFF的狀態BUFF	Status buff where Will of Guard buff can be activated	파수꾼의 의지 버프가 발동 될 수 있는 상태 버프
守望者的意志	Will of Guard	파수꾼의 의지
增加惡魔型對象攻擊力 +125	Increases damage against Devil-type targets by +125	악마형 대상 공격력 +125 증가
技能[擊殺]將只能對皮革防禦敵人套用的效果也對布防禦敵人套用。	Apply effect of Mordschlag on leather armor also to cloth armor type	스킬 [살격]이 가죽 방어 적에게만 적용되던 효과를 천 방어 적에게도 적용됩니다.
武器位置互換	Weapon Swap	무기 스왑
魔法飛彈2	Magic Missile	매직 미사일2
雙手猛攻	Double Weapon Assault	쌍수맹공
懸吊射擊	Hanging Shot	행잉샷
可以更輕易開啟寶箱。	Can open the treasure chest easily	보물상자를 더 쉽게 열 수 있습니다.
SP 回復速度	SP Recovery Speed	SP 회복 속도
耐力回復	Stamina Recovery	스태미나 회복
紅色靈氣	Red Aura	레드 오라
藍色靈氣	Blue Aura	블루 오라
黃色靈氣	Yellow Aura	옐로 오라
耐力回復上升	Increase Stamina recovery	스태미나 회복 상승
每打擊10下就會造成較大的傷害	Give greater damage every 10 attacks	10대를 칠 때마다 큰 피해를 입힙니다
大地套裝BUFF	Earth Set Buff	대지의 세트 버프
大地的憤怒BUFF可以發動的狀態BUFF	Status buff where Rage of Earth Buff can be triggered	대지의 분노 버프가 발동 될 수 있는 상태 버프
大地的憤怒	Earth Rage	대지의 분노
大屬性固定傷害追加	Additional fixed damage for Earth property attacks	땅 속성 고정 피해 추가
鐵鏟開挖狀態BUFF	Shovel status buff	삽질 상태 버프
露奎家族的套裝BUFF	Legwyn Family Set Buff	르귄가문의 세트 버프
可以發動露奎家族的遺產BUFF的狀態BUFF	Status buff where Legacy of Legwyn Family buff can be triggered	르귄가문의 유산 버프가 발동 될 수 있는 상태 버프
露奎家族的遺產	Legwyn Family's Legacy	르귄가문의 유산
權杖攻擊	Staff Attack	스태프 공격
增加HP、SP恢復力	Increase HP & SP Recovery	HP, SP 회복력 증가
所有屬性增加	All Status Increase	올스탯 증가
減少冷卻時間	Cooltime Decrease	쿨타임 감소
增加經驗值獲得量	Increased EXP Rate	경험치 획득량 증가
隨對象攻擊的次數追加傷害	Additional damage according to the number attacks	대상이 공격한 횟수만큼 추가 피해
傷害效果	Damage Effect	대미지효과
效果結束後受到傷害	Receive damage after an effect	효과가 끝나면 피해를 받음
將新獲得的效果撒在我軍身上。	Spread the new buff received to allies	새로받은 효과를 아군에게 뿌린다.
高亢	Gohang	고항
無法跳躍	Can't jump	점프 불가능
圖示轉換	Ani Change	애니 체인지
快死掉時圖示變更	Ani Change when damaged	피달면 애니변경
時間到後圖示變更	Ani Change when free time	시간되면 애니변경
猛衝撞擊	Dash Run	대쉬런
增加物理攻擊力和魔法攻擊力	Increase Physical and Magic Attack	물리 공격력과 마법 공격력이 증가
可以發動守望者意志效果的狀態效果	A status effect can activate Will of Guard	파수꾼의 의지 효과가 발동 될 수 있는 상태 효과
可以發動大地憤怒效果的狀態效果	A status effect can activate Rage of Earth	대지의 분노 효과가 발동 될 수 있는 상태 효과
鐵鏟開挖狀態效果	Shovel status effect	삽질 상태 효과
可以發動露奎家族的遺產效果的狀態效果	Status effect can activate Legacy of Legwyn Family	르귄가문의 유산 효과가 발동 될 수 있는 상태 효과
格擋增加	Block Increase	블럭 증가
格擋增加	Increased block	블럭이 증가
